username,password,role,employeeID
admin,adminpass,admin,0
manager,managerpass,manager,0
10001,garciapass,employee,10001
10002,limpass,employee,10002
10003,aquinopass,employee,10003
10004,reyespass,employee,10004
10005,hernandezpass,employee,10005
10006,villanuevapass,employee,10006
10007,sanjosepass,employee,10007
10008,romualdezpass,employee,10008
10009,atienzapass,employee,10009
10010,alvaropass,employee,10010
10011,salcedopass,employee,10011
10012,lopezpass,employee,10012
10013,faralapass,employee,10013
10014,martinezpass,employee,10014
10015,romualdezpass,employee,10015
10016,matapass,employee,10016
10017,deleonpass,employee,10017
10018,sanjosepass,employee,10018
10019,rosariopass,employee,10019
10020,bautistapass,employee,10020
10021,lazaropass,employee,10021
10022,delossantospass,employee,10022
10023,santospass,employee,10023
10024,delrosariopass,employee,10024
10025,tolentinopass,employee,10025
10026,gutierrezpass,employee,10026
10027,manalaysaypass,employee,10027
10028,villegaspass,employee,10028
10029,ramospass,employee,10029
10030,macedapass,employee,10030
10031,aguilarpass,employee,10031
10032,castropass,employee,10032
10033,martinezpass,employee,10033
10034,santospass,employee,10034
